,Slave,Func,Adr,#Reg,Format,Name,Draw,Low,High
TRUE,1,3,272,1,uint,num of node,,,
TRUE,1,3,273,2,uint,node id 1,,,
TRUE,1,3,275,2,uint,node id 2,,,
TRUE,1,3,277,2,uint,node id 3,,,
TRUE,1,3,279,2,uint,node id 4,,,
TRUE,1,3,281,2,uint,node id 5,,,
TRUE,1,3,283,2,uint,node id 6,,,
TRUE,1,3,285,2,uint,node id 7,,,
TRUE,1,3,287,2,uint,node id 8,,,
TRUE,1,3,289,2,uint,node id 9,,,
TRUE,1,3,291,2,uint,node id 10,,,
TRUE,1,3,293,2,uint,node id 11,,,
TRUE,1,3,295,2,uint,node id 12,,,
TRUE,1,3,297,2,uint,node id 13,,,
TRUE,1,3,299,2,uint,node id 14,,,
TRUE,1,3,301,2,uint,node id 15,,,
TRUE,1,3,303,2,uint,node id 16,,,
TRUE,1,3,305,2,uint,node id 17,,,
TRUE,1,3,307,2,uint,node id 18,,,
TRUE,1,3,309,2,uint,node id 19,,,
TRUE,1,3,311,2,uint,node id 20,,,
TRUE,1,3,313,2,uint,node id 21,,,
TRUE,1,3,315,2,uint,node id 22,,,
TRUE,1,3,317,2,uint,node id 23,,,
TRUE,1,3,319,2,uint,node id 24,,,
TRUE,1,3,321,2,uint,node id 25,,,
TRUE,1,3,256,1,uint,modbus address,,,
TRUE,1,3,257,1,uint,modbus baudrate,,,
TRUE,1,3,258,1,uint,modbus parity,,,
TRUE,1,3,41216,1,uint,%Battery Node 1,,,
TRUE,1,3,41217,2,float,Main parameter,,,
TRUE,1,3,41219,1,uint,Status Node 1,,,
TRUE,1,3,41220,2,float,Second parameter,,,
TRUE,1,3,28,1,int,Data Status Node 1,,,
TRUE,1,3,68,1,int,RF Signal of Node 1,,,
TRUE,1,3,41472,1,uint,%Battery Node 2,,,
TRUE,1,3,41473,2,float,Main parameter,,,
TRUE,1,3,47475,1,uint,Status Node 2,,,
TRUE,1,3,41476,2,float,Second parameter,,,
TRUE,1,3,28,1,int,Data Status Node 2,,,
TRUE,1,3,68,1,int,RF Signal of Node 2,,,
TRUE,1,3,41728,1,uint,%Battery Node 3,,,
TRUE,1,3,41729,2,float,Main parameter,,,
TRUE,1,3,41731,1,uint,Status Node 3,,,
TRUE,1,3,41732,2,float,Second parameter,,,
TRUE,1,3,29,1,int,Data Status Node 3,,,
TRUE,1,3,69,1,int,RF Signal of Node 3,,,
