,Slave,Func,Adr,#Reg,Format,Name,Draw,Low,High,Setting
TRUE,1,3,272,1,uint,num of node,,,,
TRUE,1,3,273,2,uint,node id 1,,,,
TRUE,1,3,275,2,uint,node id 2,,,,
TRUE,1,3,277,2,uint,node id 3,,,,
TRUE,1,3,279,2,uint,node id 4,,,,
TRUE,1,3,281,2,uint,node id 5,,,,
TRUE,1,3,283,2,uint,node id 6,,,,
TRUE,1,3,285,2,uint,node id 7,,,,
TRUE,1,3,287,2,uint,node id 8,,,,
TRUE,1,3,289,2,uint,node id 9,,,,
TRUE,1,3,291,2,uint,node id 10,,,,
TRUE,1,3,256,1,uint,modbus address,,,,
TRUE,1,3,257,1,uint,modbus baudrate,,,,
TRUE,1,3,258,1,uint,modbus parity,,,,
TRUE,1,3,41217,2,float,Main parameter 1,,,,
TRUE,1,3,41473,2,float,Main parameter 2,,,,
TRUE,1,3,41729,2,float,Main parameter 3,,,,
TRUE,1,3,41985,2,float,Main parameter 4,,,,
TRUE,1,3,42241,2,float,Main parameter 5,,,,
TRUE,1,3,42497,2,float,Main parameter 6,,,,
TRUE,1,3,42753,2,float,Main parameter 7,,,,
TRUE,1,3,43009,2,float,Main parameter 8,,,,
TRUE,1,3,43265,2,float,Main parameter 9,,,,
TRUE,1,3,43531,2,float,Main parameter 10,,,,
TRUE,1,3,41220,2,float,Second parameter 1,,,,
TRUE,1,3,41476,2,float,Second parameter 2,,,,
TRUE,1,3,41732,2,float,Second parameter 3,,,,
TRUE,1,3,41988,2,float,Second parameter 4,,,,
TRUE,1,3,42244,2,float,Second parameter 5,,,,
TRUE,1,3,42500,2,float,Second parameter 6,,,,
TRUE,1,3,42756,2,float,Second parameter 7,,,,
TRUE,1,3,43012,2,float,Second parameter 8,,,,
TRUE,1,3,43268,2,float,Second parameter 9,,,,
TRUE,1,3,43524,2,float,Second parameter 10,,,,
TRUE,1,3,41216,1,uint,%Battery Node 1,,,,
TRUE,1,3,41472,1,uint,%Battery Node 2,,,,
TRUE,1,3,41728,1,uint,%Battery Node 3,,,,
TRUE,1,3,41984,1,uint,%Battery Node 4,,,,
TRUE,1,3,42240,1,uint,%Battery Node 5,,,,
TRUE,1,3,42496,1,uint,%Battery Node 6,,,,
TRUE,1,3,42752,1,uint,%Battery Node 7,,,,
TRUE,1,3,43008,1,uint,%Battery Node 8,,,,
TRUE,1,3,43264,1,uint,%Battery Node 9,,,,
